etID  | Input | Late Latin {GOLD} | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I {GOLD} | Old French II {GOLD} | Middle French {GOLD} | Output {GOLD}
0      | #mˈiːllem# | *#mˈillɛ# {GOLD: #mˈillɛ#} | *#mˈillɛ# | *#mˈillɛ# | *#mˈill# | *#mˈil# {GOLD: #mˈil#} | *#mˈil# {GOLD: #mˈil#} | *#mˈil# {GOLD: #mˈil#} | *#mil# {GOLD: #mil#}
1      | #fˈiːn̪em# | *#fˈin̪ɛ# {GOLD: #fˈin̪ɛ#} | *#fˈiːn̪ɛ# | *#fˈiːn̪ɛ# | *#fˈiːn̪# | *#fˈin̪# {GOLD: #fˈin̪#} | *#fˈĩn̪# {GOLD: #fˈĩn̪#} | *#fˈẽː# {GOLD: #fˈẽː#} | *#fɛ̃# {GOLD: #fɛ̃#}
2      | #spˈiːn̪ɑm# | *#ˌespˈin̪ɑ# {GOLD: #ˌespˈin̪ɑ#} | *#ˌespˈiːn̪ɑ# | *#ˌespˈiːn̪a# | *#ˌespˈiːn̪a# | *#ˌespˈin̪ə# {GOLD: #ˌespˈin̪ə#} | *#ˌepˈĩn̪ə# {GOLD: #ˌepˈĩn̪ə#} | *#ˌepˈin̪ə# {GOLD: #ˌepˈin̪ə#} | *#epin̪# {GOLD: #epin̪#}
3      | #lˈiːn̪eɑm# | *#lˈin̪ʝɑ# {GOLD: #lˈin̪ʝɑ#} | *#lˈiːɲɑ# | *#lˈiːɲa# | *#lˈiɲa# | *#lˈiɲə# {GOLD: #lˈiɲə#} | *#lˈĩɲə# {GOLD: #lˈĩɲə#} | *#lˈiɲə# {GOLD: #lˈiɲə#} | *#liɲ# {GOLD: #liɲ#}
4      | #fˈiːlius# | *#fˈilʝos# {GOLD: #fˈilʝos#} | *#fˈiːʎos# | *#fˈiːʎos# | *#fˈiʎt͡sʲ# | *#fˈiʎt͡sʲ# {GOLD: #fˈiʎt͡s#} | *#fˈisʲ# {GOLD: #fˈis#} | *#fˈis# {GOLD: #fˈis#} | *#fis# {GOLD: #fi#}
5      | #mˈiːkɑm# | *#mˈikɑ# {GOLD: #mˈikɑ#} | *#mˈiːkɑ# | *#mˈiːɣʲa# | *#mˈiːja# | *#mˈiə# {GOLD: #mˈiə#} | *#mˈiə# {GOLD: #mˈiə#} | *#mˈiː# {GOLD: #mˈiː#} | *#mi# {GOLD: #mi#}
6      | #wˌiːllˈɑːn̪um# | *#βʷˌillˈɑn̪o# {GOLD: #βˌillˈɑn̪o#} | *#βʷˌillˈɑːn̪o# | *#βˌillˈaːn̪o# | *#vˌillˈae̯n̪# | *#vˌilˈãj̃n̪# {GOLD: #vˌilˈãj̃n̪#} | *#vˌilˈɛ̃j̃n̪# {GOLD: #vˌilˈɛ̃j̃n̪#} | *#vˌilˈɛ̃ː# {GOLD: #vˌilˈɛ̃ː#} | *#vilɛ̃# {GOLD: #vilɛ̃#}
7      | #hˌiːbˈern̪um# | *#hˌiβˈɛrn̪o# {GOLD: #hˌiβˈɛrn̪o#} | *#hˌiβˈɛrn̪o# | *#ˌiβˈɛrn̪o# | *#ˌivˈɛrr# | *#ˌivˈɛr# {GOLD: #ˌivˈɛrn̪#} | *#ˌivˈɛr# {GOLD: #ˌivˈɛr#} | *#ˌivˈɛr# {GOLD: #ˌivˈɛr#} | *#ivɛʁ# {GOLD: #ivɛʁ#}
8      | #kwˌiːn̪kwɑːɡˈin̪t̪ɑm# | *#cˌiŋkwɑʝˈen̪t̪ɑ# {GOLD: #cˌiŋkwˈɑn̪t̪ɑ#} | *#cˌiŋkwɑʝˈen̪t̪ɑ# | *#t͡sʲˌiŋkwaʝˈin̪t̪a# | *#t͡sʲˌiŋkwajˈin̪t̪a# | *#t͡sʲˌiŋkwejˈin̪t̪ə# {GOLD: #t͡sˌiŋkwˈãn̪t̪ə#} | *#sʲˌĩŋkwɛˈĩn̪t̪ə# {GOLD: #sˌĩŋkˈãn̪t̪ə#} | *#sˌẽːkwˈẽːt̪ə# {GOLD: #sˌẽːkˈãːt̪ə#} | *#sɛ̃kwɛ̃t̪# {GOLD: #sɛ̃kɑ̃t̪#}
9      | #lˌiːmˈɑːre# | *#lˌimˈɑrɛ# {GOLD: #lˌimˈɑrɛ#} | *#lˌimˈɑːrɛ# | *#lˌimˈaːrɛ# | *#lˌimˈae̯r# | *#lˌimˈeːr# {GOLD: #lˌimˈeːr#} | *#lˌĩmˈer# {GOLD: #lˌĩmˈer#} | *#lˌimˈer# {GOLD: #lˌimˈer#} | *#lime# {GOLD: #lime#}
