ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,*/mil/,/mil/,0,0.0,0.0,3,3
1,*/fɛ̃/,/fɛ̃/,0,0.0,0.0,2,2
2,*/epin̪/,/epin̪/,0,0.0,0.0,4,4
3,*/liɲ/,/liɲ/,0,0.0,0.0,3,3
4,*/fis/,/fi/,1,0.5,0.6923076923076923,3,2
5,*/mi/,/mi/,0,0.0,0.0,2,2
6,*/vilɛ̃/,/vilɛ̃/,0,0.0,0.0,4,4
7,*/ivɛʁ/,/ivɛʁ/,0,0.0,0.0,4,4
8,*/sɛ̃kwɛ̃t̪/,/sɛ̃kɑ̃t̪/,2,0.4,0.7692307692307693,6,5
9,*/lime/,/lime/,0,0.0,0.0,4,4
10,*/fisɛl/,/fisɛl/,0,0.0,0.0,5,5
11,*/liɲe/,/liɲe/,0,0.0,0.0,4,4
12,*/t̪izɔ̃/,/t̪izɔ̃/,0,0.0,0.0,4,4
13,*/ɛl/,/ɛl/,0,0.0,0.0,2,2
14,*/d̪ɛt̪/,/d̪ɛt̪/,0,0.0,0.0,3,3
15,*/fɑ̃d̪ʁ/,/fɑ̃d̪ʁ/,0,0.0,0.0,4,4
16,*/pʁɑ̃d̪ʁ/,/pʁɑ̃d̪ʁ/,0,0.0,0.0,5,5
17,*/fam/,/fam/,0,0.0,0.0,3,3
18,*/ø/,/ø/,0,0.0,0.0,1,1
19,*/fwa/,/fwɑ/,1,0.3333333333333333,0.07692307692307693,3,3
20,*/kʁɛ/,/kʁɛ/,0,0.0,0.0,3,3
21,*/plɛ̃/,/plɛ̃/,0,0.0,0.0,3,3
22,*/plɛn̪/,/plɛn̪/,0,0.0,0.0,4,4
23,*/siʁ/,/siʁ/,0,0.0,0.0,3,3
24,*/ʁɛzɛ̃/,/ʁɛzɛ̃/,0,0.0,0.0,4,4
25,*/paʁɛj/,/paʁɛj/,0,0.0,0.0,5,5
26,*/ɑ̃sɛɲ/,/ɑ̃sɛɲ/,0,0.0,0.0,4,4
27,*/fɛ̃/,/fɛ̃/,0,0.0,0.0,2,2
28,*/t̪wa/,/t̪wɑ/,1,0.3333333333333333,0.07692307692307693,3,3
29,*/ʁɛd̪/,/ʁɛd̪/,0,0.0,0.0,3,3
30,*/sɛ/,/sɛt̪/,1,0.3333333333333333,0.6153846153846154,2,3
31,*/t̪ɑ̃/,/t̪ɑ̃/,0,0.0,0.0,2,2
32,*/bo/,/bo/,0,0.0,0.0,2,2
33,*/pje/,/pje/,0,0.0,0.0,3,3
34,*/jɛʁ/,/jɛʁ/,0,0.0,0.0,3,3
35,*/fjɛʁ/,/fjɛʁ/,0,0.0,0.0,4,4
36,*/bjɛ̃/,/bjɛ̃/,0,0.0,0.0,3,3
37,*/t̪jɛn̪/,/t̪jɛn̪/,0,0.0,0.0,4,4
38,*/d̪jø/,/d̪jø/,0,0.0,0.0,3,3
39,*/vjɛj/,/vjɛj/,0,0.0,0.0,4,4
40,*/vjø/,/vjø/,0,0.0,0.0,3,3
41,*/t̪jɛɲ/,/t̪jɛn̪/,1,0.25,0.17307692307692307,4,4
42,*/ɛɲɛ̃/,/ɑ̃ʒɛ̃/,2,0.6666666666666666,0.40384615384615385,3,3
43,*/t̪jɛ̃/,/tjɛ̃/,1,0.3333333333333333,0.038461538461538464,3,3
44,*/pi/,/pi/,0,0.0,0.0,2,2
45,*/li/,/li/,0,0.0,0.0,2,2
46,*/pɛʁsɔn̪/,/pɛʁsɔn̪/,0,0.0,0.0,6,6
47,*/fɛʁme/,/fɛʁme/,0,0.0,0.0,5,5
48,*/lwaje/,/leʒe/,3,0.75,0.8461538461538461,5,4
49,*/d̪efɛʁ/,/d̪efɛʁ/,0,0.0,0.0,5,5
50,*/n̪əvø/,/n̪əvø/,0,0.0,0.0,4,4
51,*/d̪əvwaʁ/,/d̪əvwaʁ/,0,0.0,0.0,6,6
52,*/sɑ̃t̪iʁ/,/sɑ̃t̪iʁ/,0,0.0,0.0,5,5
53,*/sɑ̃ɡle/,/sɑ̃ɡlie/,1,0.16666666666666666,0.34615384615384615,5,6
54,*/fən̪e/,/fan̪e/,1,0.25,0.09615384615384616,4,4
55,*/mən̪e/,/mən̪e/,0,0.0,0.0,4,4
56,*/fymje/,/fymje/,0,0.0,0.0,5,5
57,*/føt̪ʁe/,/føt̪ʁe/,0,0.0,0.0,5,5
58,*/bot̪e/,/bot̪e/,0,0.0,0.0,4,4
59,*/sɛɲœʁ/,/sɛɲœʁ/,0,0.0,0.0,5,5
60,*/pɛ̃t̪yʁ/,/pɛ̃t̪yʁ/,0,0.0,0.0,5,5
61,*/mɛjœʁ/,/mɛjœʁ/,0,0.0,0.0,5,5
62,*/vɛje/,/vɛje/,0,0.0,0.0,4,4
63,*/mwajɛ̃/,/mwajɛ̃/,0,0.0,0.0,5,5
64,*/vwat̪yʁ/,/vwat̪yʁ/,0,0.0,0.0,6,6
65,*/fʁwaje/,/fʁɛje/,2,0.4,0.6346153846153846,6,5
66,*/paʁ/,/paʁ/,0,0.0,0.0,3,3
67,*/ɑʒ/,/ɑʒ/,0,0.0,0.0,2,2
68,*/pɑt̪/,/pɑt̪/,0,0.0,0.0,3,3
69,*/ɡʁɑ̃/,/ɡʁɑ̃/,0,0.0,0.0,3,3
70,*/lam/,/lam/,0,0.0,0.0,3,3
71,*/ob/,/ob/,0,0.0,0.0,2,2
72,*/ʒjɛ̃/,/ʒa/,2,1.0,0.5384615384615384,3,2
73,*/ɡʁe/,/ɡʁe/,0,0.0,0.0,3,3
74,*/t̪ɛl/,/t̪ɛl/,0,0.0,0.0,3,3
75,*/mɛʁ/,/mɛʁ/,0,0.0,0.0,3,3
76,*/mɛʁ/,/mɛʁ/,0,0.0,0.0,3,3
77,*/mɛ̃/,/mɛ̃/,0,0.0,0.0,2,2
78,*/ɛm/,/ɛm/,0,0.0,0.0,2,2
79,*/po/,/pjø/,2,0.6666666666666666,0.6153846153846154,2,3
80,*/pit̪je/,/pit̪je/,0,0.0,0.0,5,5
81,*/mɑ̃ʒe/,/mɑ̃ʒe/,0,0.0,0.0,4,4
82,*/ʃɛʁ/,/ʃɛʁ/,0,0.0,0.0,3,3
83,*/ʃɛʁ/,/ʃɛʁ/,0,0.0,0.0,3,3
84,*/ʃjɛ̃/,/ʃjɛ̃/,0,0.0,0.0,3,3
85,*/ʒi/,/ʒi/,0,0.0,0.0,2,2
86,*/aj/,/aj/,0,0.0,0.0,2,2
87,*/pɑj/,/pɑj/,0,0.0,0.0,3,3
88,*/o/,/o/,0,0.0,0.0,1,1
89,*/mɔ̃t̪aɲ/,/mɔ̃t̪aɲ/,0,0.0,0.0,5,5
90,*/sɛ̃/,/sɛ̃/,0,0.0,0.0,2,2
91,*/mɛ/,/mɛ/,0,0.0,0.0,2,2
92,*/aʒ/,/e/,2,2.0,0.6923076923076923,2,1
93,*/abe/,/abe/,0,0.0,0.0,3,3
94,*/maʁi/,/maʁi/,0,0.0,0.0,4,4
95,*/bɑt̪iʁ/,/bɑt̪iʁ/,0,0.0,0.0,5,5
96,*/sɑ̃t̪e/,/sɑ̃t̪e/,0,0.0,0.0,4,4
97,*/an̪e/,/an̪e/,0,0.0,0.0,3,3
98,*/sot̪e/,/sot̪e/,0,0.0,0.0,4,4
99,*/ʃəval/,/ʃəval/,0,0.0,0.0,5,5
100,*/ʃalwaʁ/,/ʃalwaʁ/,0,0.0,0.0,6,6
101,*/paje/,/pɑje/,1,0.25,0.07692307692307693,4,4
102,*/aɲo/,/aɲo/,0,0.0,0.0,3,3
103,*/sɛ̃t̪e/,/sɛ̃t̪ət̪e/,2,0.3333333333333333,1.4423076923076923,4,6
104,*/mɛzɔ̃/,/mezɔ̃/,1,0.25,0.038461538461538464,4,4
105,*/mɔʁ/,/mɔʁ/,0,0.0,0.0,3,3
106,*/t̪o/,/t̪o/,0,0.0,0.0,2,2
107,*/pɔ̃/,/pɔ̃/,0,0.0,0.0,2,2
108,*/fu/,/fu/,0,0.0,0.0,2,2
109,*/bœf/,/bøf/,1,0.3333333333333333,0.038461538461538464,3,3
110,*/pø/,/pø/,0,0.0,0.0,2,2
111,*/œj/,/œj/,0,0.0,0.0,2,2
112,*/fœj/,/fœj/,0,0.0,0.0,3,3
113,*/jø/,/jø/,0,0.0,0.0,2,2
114,*/n̪ɥi/,/n̪ɥi/,0,0.0,0.0,3,3
115,*/ɥi/,/ɥi/,0,0.0,0.0,2,2
116,*/t̪uʁmɑ̃/,/t̪uʁmɑ̃/,0,0.0,0.0,5,5
117,*/muʁiʁ/,/muʁiʁ/,0,0.0,0.0,5,5
118,*/d̪ud̪e/,/d̪ut̪e/,1,0.25,0.038461538461538464,4,4
119,*/n̪we/,/n̪we/,0,0.0,0.0,3,3
120,*/fɔ̃t̪ɛn̪/,/fɔ̃t̪ɛn̪/,0,0.0,0.0,5,5
121,*/fɔ̃d̪e/,/fɔ̃d̪e/,0,0.0,0.0,4,4
