ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,*/avɑ̃/,/avɑ̃/,0,0.0,0.0,3,3
1,*/abe/,/abe/,0,0.0,0.0,3,3
2,*/a/,/a/,0,0.0,0.0,1,1
3,*/afɛt̪e/,/afɛt̪e/,0,0.0,0.0,5,5
4,*/ɛd̪e/,/ɛd̪e/,0,0.0,0.0,3,3
5,*/ɛz/,/ɛz/,0,0.0,0.0,2,2
6,*/apʁɛ/,/apʁɛ/,0,0.0,0.0,4,4
7,*/aʁjɛʁ/,/aʁjɛʁ/,0,0.0,0.0,5,5
8,*/ase/,/ase/,0,0.0,0.0,3,3
9,*/avɔe/,/avwe/,1,0.25,0.15384615384615385,4,4
10,*/et̪e/,/et̪e/,0,0.0,0.0,3,3
11,*/ɑʒ/,/ɑʒ/,0,0.0,0.0,2,2
12,*/ɛʁ/,/ɛʁ/,0,0.0,0.0,2,2
13,*/aɲɛl/,/aɲɛl/,0,0.0,0.0,4,4
14,*/aɲo/,/aɲo/,0,0.0,0.0,3,3
15,*/aɲo/,/aɲo/,0,0.0,0.0,3,3
16,*/ɛʁ/,/ɛʁ/,0,0.0,0.0,2,2
17,*/ɛl/,/ɛl/,0,0.0,0.0,2,2
18,*/alu/,/alu/,0,0.0,0.0,3,3
19,*/aloz/,/aloz/,0,0.0,0.0,4,4
20,*/ob/,/ob/,0,0.0,0.0,2,2
21,*/obiɲi/,/obiɲi/,0,0.0,0.0,5,5
22,*/osi/,/osi/,0,0.0,0.0,3,3
23,*/aliz/,/aliz/,0,0.0,0.0,4,4
24,*/o/,/o/,0,0.0,0.0,1,1
25,*/aj/,/aj/,0,0.0,0.0,2,2
26,*/okyn̪/,/okyn̪/,0,0.0,0.0,4,4
27,*/okœ̃/,/okœ̃/,0,0.0,0.0,3,3
28,*/ot̪ɑ̃/,/ot̪ɑ̃/,0,0.0,0.0,3,3
29,*/ɔt̪ʁ/,/ot̪ʁ/,1,0.3333333333333333,0.038461538461538464,3,3
30,*/ase/,/asje/,1,0.25,0.46153846153846156,3,4
31,*/ɛn̪/,/ɛn̪/,0,0.0,0.0,2,2
32,*/ɛ/,/ɛ/,0,0.0,0.0,1,1
33,*/ɛsɛl/,/ɛsɛl/,0,0.0,0.0,4,4
